id,session_id,message,created_at
97,10036,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-16 10:12:00+00
98,10036,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-16 11:13:00+00
99,10036,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-16 12:14:00+00
100,10037,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-17 10:14:00+00
101,10037,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-17 11:15:00+00
102,10038,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-18 10:16:00+00
103,10038,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-18 11:17:00+00
104,10038,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-18 12:18:00+00
105,10039,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-19 10:18:00+00
106,10039,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-19 11:19:00+00
107,10039,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-19 12:20:00+00
108,10040,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-20 10:20:00+00
109,10040,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-20 11:21:00+00
110,10041,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-21 10:22:00+00
111,10041,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-21 11:23:00+00
112,10041,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-21 12:24:00+00
113,10042,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-01 10:24:00+00
114,10042,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-01 11:25:00+00
115,10042,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-01 12:26:00+00
116,10043,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-02 10:26:00+00
117,10043,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-02 11:27:00+00
118,10044,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-03 10:28:00+00
119,10044,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-03 11:29:00+00
120,10044,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-03 12:30:00+00
121,10045,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-04 10:30:00+00
122,10045,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-04 11:31:00+00
123,10045,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-04 12:32:00+00
124,10046,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-05 10:32:00+00
125,10046,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-05 11:33:00+00
126,10047,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-06 10:34:00+00
127,10047,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-06 11:35:00+00
128,10047,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-06 12:36:00+00
129,10048,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-07 10:36:00+00
130,10048,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-07 11:37:00+00
131,10048,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-07 12:38:00+00
132,10049,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-08 10:38:00+00
133,10049,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-08 11:39:00+00
134,10050,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-09 10:40:00+00
135,10050,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-09 11:41:00+00
136,10050,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-09 12:42:00+00
137,10051,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-10 10:42:00+00
138,10051,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-10 11:43:00+00
139,10051,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-10 12:44:00+00
140,10052,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-11 10:44:00+00
141,10052,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-11 11:45:00+00
142,10053,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-12 10:46:00+00
143,10053,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-12 11:47:00+00
144,10053,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-12 12:48:00+00
145,10054,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-13 10:48:00+00
146,10054,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-13 11:49:00+00
147,10054,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-13 12:50:00+00
148,10055,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-14 10:50:00+00
149,10055,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-14 11:51:00+00
150,10056,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-15 10:52:00+00
151,10056,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-15 11:53:00+00
152,10056,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-15 12:54:00+00
153,10057,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-16 10:54:00+00
154,10057,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-16 11:55:00+00
155,10057,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-16 12:56:00+00
156,10058,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-17 10:56:00+00
157,10058,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-17 11:57:00+00
158,10059,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-18 10:58:00+00
159,10059,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-18 11:59:00+00
160,10059,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-18 12:00:00+00
161,10060,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-19 10:00:00+00
162,10060,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-19 11:01:00+00
163,10060,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-19 12:02:00+00
164,10061,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-20 10:02:00+00
165,10061,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-20 11:03:00+00
166,10062,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-21 10:04:00+00
167,10062,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-21 11:05:00+00
168,10062,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-21 12:06:00+00
169,10063,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-01 10:06:00+00
170,10063,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-01 11:07:00+00
171,10063,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-01 12:08:00+00
172,10064,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-02 10:08:00+00
173,10064,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-02 11:09:00+00
174,10065,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-03 10:10:00+00
175,10065,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-03 11:11:00+00
176,10065,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-03 12:12:00+00
177,10066,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-04 10:12:00+00
178,10066,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-04 11:13:00+00
179,10066,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-04 12:14:00+00
180,10067,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-05 10:14:00+00
181,10067,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-05 11:15:00+00
182,10068,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-06 10:16:00+00
183,10068,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-06 11:17:00+00
184,10068,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-06 12:18:00+00
185,10069,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-07 10:18:00+00
186,10069,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-07 11:19:00+00
187,10069,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-07 12:20:00+00
188,10070,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-08 10:20:00+00
189,10070,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-08 11:21:00+00
190,10071,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-09 10:22:00+00
191,10071,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-09 11:23:00+00
192,10071,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-09 12:24:00+00
193,10072,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-10 10:24:00+00
194,10072,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-10 11:25:00+00
195,10072,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-10 12:26:00+00
196,10073,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-11 10:26:00+00
197,10073,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-11 11:27:00+00
198,10074,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-12 10:28:00+00
199,10074,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-12 11:29:00+00
200,10074,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-12 12:30:00+00
201,10075,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-13 10:30:00+00
202,10075,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-13 11:31:00+00
203,10075,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-13 12:32:00+00
204,10076,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-14 10:32:00+00
205,10076,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-14 11:33:00+00
206,10077,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-15 10:34:00+00
207,10077,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-15 11:35:00+00
208,10077,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-15 12:36:00+00
209,10078,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-16 10:36:00+00
210,10078,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-16 11:37:00+00
211,10078,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-16 12:38:00+00
212,10079,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-17 10:38:00+00
213,10079,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-17 11:39:00+00
214,10080,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-18 10:40:00+00
215,10080,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-18 11:41:00+00
216,10080,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-18 12:42:00+00
217,10081,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-19 10:42:00+00
218,10081,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-19 11:43:00+00
219,10081,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-19 12:44:00+00
220,10082,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-20 10:44:00+00
221,10082,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-20 11:45:00+00
222,10083,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-21 10:46:00+00
223,10083,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-21 11:47:00+00
224,10083,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-21 12:48:00+00
225,10084,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-01 10:48:00+00
226,10084,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-01 11:49:00+00
227,10084,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-01 12:50:00+00
228,10085,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-02 10:50:00+00
229,10085,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-02 11:51:00+00
230,10086,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-03 10:52:00+00
231,10086,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-03 11:53:00+00
232,10086,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-03 12:54:00+00
233,10087,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-04 10:54:00+00
234,10087,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-04 11:55:00+00
235,10087,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-04 12:56:00+00
236,10088,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-05 10:56:00+00
237,10088,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-05 11:57:00+00
238,10089,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-06 10:58:00+00
239,10089,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-06 11:59:00+00
240,10089,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-06 12:00:00+00
241,10090,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-07 10:00:00+00
242,10090,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-07 11:01:00+00
243,10090,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-07 12:02:00+00
244,10091,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-08 10:02:00+00
245,10091,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-08 11:03:00+00
246,10092,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-09 10:04:00+00
247,10092,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-09 11:05:00+00
248,10092,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-09 12:06:00+00
249,10093,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-10 10:06:00+00
250,10093,"{""type"":""ai"",""content"":""I am checking the settlement now. Which is your restaurant?""}",2026-06-10 11:07:00+00
251,10093,"{""type"":""human"",""content"":""It has been three days with nothing on my balance.""}",2026-06-10 12:08:00+00
252,10094,"{""type"":""human"",""content"":""My order shows cancelled but the customer already paid.""}",2026-06-11 10:08:00+00
253,10094,"{""type"":""ai"",""content"":""Let me look into the cancellation and the refund status.""}",2026-06-11 11:09:00+00
254,10095,"{""type"":""human"",""content"":""Customers complain the dish does not match the photo.""}",2026-06-12 10:10:00+00
255,10095,"{""type"":""ai"",""content"":""Thanks for flagging — I will review the menu listing.""}",2026-06-12 11:11:00+00
256,10095,"{""type"":""human"",""content"":""Please also fix the items we removed last week.""}",2026-06-12 12:12:00+00
257,10096,"{""type"":""human"",""content"":""My weekly payout never arrived even though customers paid.""}",2026-06-13 10:12:00+00
